short_desc,severity
hangs login failed closed checking pop mail,critical
javadoc ilauncheslistener mention ilauncheslistener,trivial
open declarationinclude checkboxes local occurences top,trivial
npe orgeclipsecdtinternaluilanguagesettingsproviderslanguagesettingsprovidertabupdatedatalanguagesettingsprovidertabjava,critical
findreplace replace regular expression hangs,critical
gcdrawimage shift correctly scaled gtk,normal
outline view wont sync editor unless go top level type selected,minor
remove dependency orgeclipseupdatecore,normal
swtgtklinuxx printer crash ubuntu gutsy,normal
workbench toolbar layout bug,major
crash click message,critical
eclipse neon startup multiple error experienced,major
file menu grows wide,trivial
stack trace console use console font,trivial
eclipse finds errors none,major
indexer hang orgeclipsecdtinternalcoredomparsercppsemanticscppinheritancefinaloverridermapmergeoverriders,major
executables view provide better selection creating launch configurations,normal
content assist honor projects jre setting,minor
viewers structuredviewerfinditemsobject javadoc precise,trivial
hierarchy focus package shows classes missing superclasses,normal
utf encoding working,major
external toolsmenu external tools menu shows rundebug lanuch configurations,minor
crash nsdocshelldouriload,critical
detail pane manager persist pane sizes,normal
hpcomputer freezes downloading mails connecting server needs windows restart,critical
importexport cce importexport dialog,major
local variables shown variables window used,major
jface eclipse shell disables openning editor,major
started computer thunderbird blank asking setting new account,critical
progress compare editor active compare,normal
indexing freezes,major
wrong text local variable view,normal
merge wizard missing dynamic help item,minor
javadoc link completions include elements excluded type filter javadoc,normal
emails disappear mailbox mbox files update,critical
fieldassist simplecontentproposalprovider labelprovider gives wrong proposal text,trivial
tablegetselection throws aioobe,blocker
europa pde launcher crashes jvm,critical
viewers jface resizing virtual tables columnweightdata layout extremely slow,normal
presentations api issies,normal
improve line breaking formatting ternary operators,minor
tbird crashes server similar dos attack indexing large inbox,critical
link accounts menu access page,critical
viewers wdiget disposed error sync view,normal
use api newjavaprojectpreferencepage,trivial
handles creating image swt error message workbench wants exit,critical
source formatting slow,major
commonnavigator try implement lazy tree expansion background,major
code mining wrong background mining line header line selected,minor
anchors equinox swt whats new arent working ie,normal
compilernull null analysis doesnt work autoboxing constant,normal
refactor rename confusingproblematic workflow,normal
launcher invalid thread access invoked perspective argument,major
cvs sync view synchronization window small forgets size,minor
cvs ui core progress monitor gives appearance frozen multiple project checkouts cvs,trivial
invalid thread access jdt debug ui plugin startup,major
git plugin repo name tab uses dark colour apperance theme set system,minor
dont show masterpassword prompt one already open,normal
drag n drop search messages inbox imap server local network folder corrupts folder xmozillastatus message header lines order,critical
databinding unexpected behavior bindspec converter validator setters,normal
linked resources linked resources disappears package explorer changing location refresh,normal
japanese menu item displayed properly,normal
extract local refactor extract local variable doesnt ignore whitespace selection refactoring,minor
remove information dialog enough members type sort,minor
crashing every time,critical
unable add version control without commit rights,trivial
extensions fieldeditor misbehave restore defaults,critical
data loss java editor discards unsaved changes,critical
java crashes starting eclipse,major
review initial sizes safechunkyinputstream,minor
source refactor top level menus meant edit menu,minor
unable install updates uac compatible,major
keybindings preference page blue triangle icon intuitive,minor
confusing detach file select file another message rclick another detaches wrong file,critical
upgrade jdt cant start vm debug application,blocker
keybindings left hand windows alt key swapped,normal
rolling selection bar messages marked read automatically,major
stuck copying mail sent folder,major
creating gc device paint somewhere screen windows,critical
shortcut cannot changed,minor
old c syntax function defitinions breaks parser,normal
test failures ui bug,trivial
bugzilla list vcm team,normal
nightly trunk builds fail talkback install talkback functioning,critical
fastview bindings shouldnt appear fast view popup,minor
cannot receive mail alert message folder inbox full cant hold messages make room messages delete old unwanted mail compact folder,major
formatterwhitespace removed line comment switches formatter,minor
coreexception user opens indexer property page project,normal
remotecdtreleng source bundle missing orgeclipsecdtlaunchremote,minor
memory computing macro expansion,major
browser perspective drag drop disabled,normal
improper resolution includes per directory includes,normal
generic method overloading javac allows eclipse doesnt,major
override methodnull generating method override create redundant null annotations,normal
error parser error markers show beyond st directory level project,major
open type dialog box doesnt persist new size,normal
enable tracingdebugging eclipse,trivial
timing problem waiting threadjob,normal
illegalaccesserror cloning array compliance,blocker
model javaelementjemlambdamethod use memento delimiter,normal
escape character folder name turns thunderbird stupid,critical
cursor get moved wrong position code assist,blocker
spurious incompatible operand types unknown type,normal
cannot escape characters regular expressions,minor
overflow chevron drawn properly perspective switcher toolbar,minor
behavior gcdrawline called invalid arguments,minor
ijavamarkerresolutionextension looks unused could removed,trivial
displayview registers ctrlspace globally,major
properties view cutcopypaste shortcuts dont work properties view,normal
mbs description browsetype attribute says applicable listtyped options,minor
serious swt error causes ide close,major
refhtms images need updating,normal
copy keybinding always brings key binding selection popup,major
photon zoom indicator hamburger menu looks bulky,minor
intro typo documentation,trivial
indentation error using right bit shift operator forloop,minor
quick outline quick type hierarchy disappear unexpectedly,minor
process stopping debugg session causes user processes terminate,major
syncinfocompareinput uses noextend unsupported final classes,trivial
stepintoselectiontestappcc sequence point problems,minor
organize imports bug,normal
folder name starting dot ex mac included messages thrown away quit,critical
cannot edit classpath variable strings launch config,normal
iscannerinfoprovider return iscannerinfo project,major
editor could initialized,critical
format format result worse original,minor
content assist dismissed file opened,minor
npe orgeclipseuiinternalidecontenttypedecorator,trivial
sun jvm traps sigsegv,major
inconsistent display java files java ee perspective,minor
import outlook address book crashes program,critical
tvttct chs duplicate mnemonic keys,minor
swt examples swtontop results window decorations instantiated shell window,minor
eclipse unstable gtk,critical
add support hasfeature,normal
text filter working preferences,major
launch debug dialog clipped,trivial
doesnt launch sun jdk,critical
dialogs npe filtereditemsselectiondialog,major
large amounts traces log debugging j,normal
displaysyncexec runs current thread invalid thread exception,critical
error imap command uid fetch invalid body parameter unexpected data,major
wrong caret java editor,minor
squiggly line bad place missing return statement,normal
content assist missing border javadoc preview window code completion,normal
preferences colors fonts page keyword text font,trivial
pull accessibility static method subclass,minor
thunderbird send return receipt confused coding mail,critical
notification windows disappear win xp sp,major
configure accessor class wizard react text modification nls refactoring,normal
add include work cpp file references needed include,major
fatal crash entering anything location field custom message alert browser,critical
code mining missing code minings class file editor,major
orgeclipseswtswterror item added,critical
assistquickfixtest test failure build,normal
ilegal access buildmanager incrementalprojectbuilderstartuponintialize,normal
missing function rebuild projectall clean,major
webappsearch missing mnemonic topics search,trivial
modify actions always ask file open,major
usrlibmozillathunderbirdrunmozillash line muistialueen ylitys prog,major
help help viewer uses ie proxy settings even network connections set direct,normal
symbolic links upset jre path,normal
invalid error message rundebugconsole,trivial
forms scrolledform reflow smashes combos,major
preprocessor block highlighting follow active configuration,normal
contenttype npe creating content describer,normal
implementation remove workaround bug,trivial
details pane expressions view displays wrong data big arrays,major
keybindings startup fails default active scheme undefined,normal
middle mouse button causes busy cursor,trivial
junit junitcontainerwizardpage needs relayout junit version selection,minor
ole poor performance opening excel swt,critical
wouldnt know broken web page bug attempted load new thunderbird wont finish loading guess,critical
make dialog windows resizeable default,trivial
error initializing display swt,major
webapp show topics button causes online help toc error http file found,trivial
navigation mark occurrences fails selection made via call hierarchy view,minor
error annotations arent refreshed two code panes open,minor
suspend execution uncaught exceptions always,critical
run dialog open exception occurs,critical
code mining editor scrolls caret jumps undoredo,major
remove information dialog enough members type sort,minor
compiler visibility error package private method,normal
new class wizard allows creation class two package fragments code manipulation,trivial
misc untitled text editor numbers incremented even old ones saved something else,trivial
usability issue external editors geirl,normal
eclipse cannot create file resource file name length characters,major
slow indexer,normal
resourcevariantbytestores equalsbyte byte could simplified,minor
code mining inlined annotation support must remove annotations uninstalled,critical
sonar resolve issues marked blocker,trivial
update thunderbird loses previous thunderbird content,major
pressing home key doesnt go start text,trivial
trunk crash startup os x mac,critical
test,minor
indexer hangs opening first project,major
inline constant cannot inline anonymous classes,minor
open list comes blank messages searches,major
cvs ui rephrase pref text make new files downloaded,trivial
change lock toolbar command toggle lock toolbars,minor
message body search work imap folder,major
eclipse crashes creating c project,critical
breakpoints breakpoints view breakpoint properties action missing,critical
cannot print print grayed,major
email addresses similar usernames get email sent one username,major
npe opening java perspective,critical
commonnavigator prints runtimeexceptions,minor
disposing font still use gc causes crashes,major
description column narrow problems view,minor
icompilationunitcommitworkingcopy doesnt send typehierarchychanged,major
execution environment linkage installed jre x sled eclipse,major
invoking cdt builder takes minute managed project,major
dialogs overrideimplement methods dialog dbl border,trivial
javaxannotationpostconstruct cannot resolved javaxannotationapijar classpath,normal
searching filters sorting z,major
misc defaultcharacterpairmatcher work partition borders,minor
workbenchlauncher eclipse splash screen status text cut dpi scaling,trivial
wrong error message expected writing interface,minor
show breakpoints supported selected target doesnt work,normal
cdt handle address breakpoints across sessions,normal
jre new jre wizard consistent,trivial
bump skin version,normal
svgs documentation could smaller,normal
showing v tourset new user tour update user tour,normal
treeviewer corrupts display using styledcelllabelprovider,normal
jaws reads wrong state checkbox network connections preferences pressing spacebar,minor
cvs update prune directories,minor
debug view empty debug view enabled find context menu action,trivial
slowdown progress monitor,critical
breakpoints error dialog deleting breakpoint working set,minor
launch miinferiorprocessexitvalue never returns,critical
swtexception abstracttexteditor closing editors,critical
usability launch config dialog select last launch,normal
indexermanager leaks elementchangelisteners reset,major
missing localizations extension point names,trivial
rc spelling typos help mri,minor
pango assertion failed pangodefaultbreak,normal
rendering changed variables,normal
ast illegalargumentexception creation,normal
debug view steals focus breakpoint hit,minor
gtk black javadoc hover black view backgrounds gtk,major
entire thunderbird user data vanished address book foldersfiles accounts etc,critical
error clicking project properties pydev,critical
incomplete includes show much code outline,trivial
assertionfailedexception abstractserialversionoperationrewriteast abstractserialversionoperationjava,normal
selecting workspace smb share fails,minor
javascript error chromebrowsercontenttabbrowserxml line typeerror cannot use operator search cangoback browser,normal
key accelerators menus disabled altkey bound command,normal
help isenabled called children itocs created toc provider,major
classcastexception astsimpletypespecifiergettypespecifier,normal
segfault vpn connection crash,critical
rename file another file renamed,major
unreachable code refactoringwizarddialogokpressed,minor
common navigator drag drop java file default package package project explorer defaults copy instead move,minor
optionteststestbug failing due wrong assumption,critical
incomming message disappear,critical
dnd dragdrop requirement dnddropmove documented,normal
followup deprecated ilaunchmanagergenerateuniquelaunchconfigurationnamefromstring,minor
unwanted team share project menu item,major
ftp import wizard handling link files properly,critical
fails compile java,normal
swt retains expanded state item count set,normal
flicker closing launch config dialog,minor
ctabfolder close button doesnt appear tab moves mouse,minor
window systems dialog offer wpf,minor
line styles gtk vary greatly windows,normal
dnd moving element package explorer collapse element,minor
cant open classfile,minor
markers tasks view superfluous title,normal
macos operating systems authentication dialog cant accepted os doesnt password set,blocker
xbeenthere filter work,major
arrayindexoutofboundsexception,normal
error parser visual c error parser doesnt parse prefast drivers output,minor
deadlock synchronize operation,critical
git label decorator hides packagedefault visibility,minor
misconfigured launch config providers cause npe,critical
inconsistent ordering content assist,normal
preferences consolidate combofieldeditor,normal
symbol resolution stopped working juno mm,major
shows problem java class really havent problem,minor
quickaccess quick access menu split dual monitor setup,minor
message disappears read,critical
tvt text extensiontruncation problem jar packager,minor
thunderbird fails close properly shutdown high cpu imap connections,critical
clean build,blocker
preferences remove default button,normal
support native image loading,normal
selecting import container select imports,normal
browser internal web browser needs backforward keybindings,normal
hierarchy orgeclipseeuimodelapplicationuimenuitemtype orgeclipseeuimodelapplicationuisidevalue suspicious,normal
wizards problems creating project long name,normal
least day running spellcheck outgoing email causes freeze losing post,critical
orgeclipseswtproject use path variable workspace,normal
imethod exception inconsistencies,minor
globalactions paste wont overwrite files,major
scrollbar flickers open type dialog,minor
editor mgmt remove editorlist preferences view,normal
tm dav ftp passwords encrypted,major
commands mi command better use context information,minor
java search missing nls string view menu write filter,trivial
eclipse indexer fails stack overflow,normal
cursor positioned incorrectly paste smart paste problem,major
recipe peer review,normal
mail content lost mail downloaded isp using tb pop,critical
nullpointerexception swtwidgetswidgettostring,critical
snippet doesnt use texts,trivial
cannot start eclipse sdk,critical
wording generated comment wording quite correct,trivial
lightweight themes dont change styling properly os x,critical
viewers tableviewergetcolumnproperties method consistent tableviewersetcolumnproperties,trivial
cdt throws c model exception missing header file,normal
textcomputesize wrong text line breaks swtsingle,minor
thunderbird crashes whenever try answer email write new one,critical
remove warnings core runtime deprecations,normal
ccombo swtreadonly allows copy paste os context menu,normal
swtexception include paths symbols properties,major
compiler compiler error using generics static class,critical
presentationapi stackpresentation horribly unclear,trivial
cdt indexer get syntax error declspec within enum migrating vc specific keywords,normal
inconsistent handling types external working set type hierarchy,normal
import wizard existing projects option scan folders project,major
unresolved inclusion qt header files existing inside project area,critical
build path buildpathsupport violating classpathcontainerinitializer api contract,critical
win flipped button order default button,minor
editor isnt sync filesystem,major
hovering problem hover cut horizontally custom dialog font,minor
expression views tooltip doesnt display ampersand,minor
viewers tableviewerreveal documentation,minor
loop exception testing regular expression,normal
cannot infer type arguments lambda v,critical
basedn ldap changes reflected thunderbird restart,major
forms crash drawbackground advancedantialiased mode,critical
inunexternalized texts remote folder dialog,trivial
code mining log error needed,major
breakpoint takes apply,major
crash nsqueryinterfaceoperatornsid const void windows,critical
clean dialog size unbound,trivial
cannot load candidate resources youtube,critical
win concurrentmodificationexception accessiblelambdaaccessiblejava,normal
installer kill thunderbird response given prompt save drafts thunderbird must closed proceed installation,critical
problem package name gfvxbr,normal
field anonymous union inside structure renamed,normal
prompt deleting launch configuration deleting project,minor
replace usage viewersorter viewercomparator platformteam,trivial
update doc regarding api change,normal
efs filesystem providers short uri schemes break filestoretolocalfile,major
patch stackoverflowerror creating target platform linked installation,major
crash trying view mail,critical
c perspective show cdt,blocker
thread object recognized indexer,normal
jdt compiler fails infer correctly generic types,critical
variables view tries expand variable children stepping function,minor
crash nsmsgdatabasegetuintproperty,critical
wrong messages opened error,major
tvttct hu base windows menu preferences rundebug launchingwindows,minor
helpcontents generates http error,major
hovers blocked itypegetattachedjavadoc blocked socketconnect,normal
dialog blocks validateedit,critical
setup thunderbird seems setup firefox setup downloaded,blocker
fix mailnews compiler warnings got upgraded errors bug move mozcxxsupportswarning python configure,blocker
update merge view actually merges overwrite,major
navigation javadoc brings dialog browser cannot created,minor
crash sending smtp authentication turned,critical
breakpoint action resume validate time value,minor
activities sdk activities shipped platform plugin,normal
items duplicated projectproperties dialog,minor
regression display calendar task tabs,major
intro search finds intro link tutorial open link work correctly,minor
focus attachment pane ctrlenter tried open attachment sends,minor
npe extract method,major
runtime jre combo main lauch configuration tab show items,trivial
cdt freezes trying open large c file,critical
skip repo type selection page one,normal
bad display disabled command icons toolbars,minor
test bug,blocker
going v v lost contents local folders despite profile intact prefsjs seemingly correct,critical
uimonitoring causing releng unit test failure missing file schema directory,normal
add javadoc shftaltj loses focus leaves uneditable focus mouse,normal
nullpointerexceptions switching android xml files,normal
ide move software updates edit,normal
mnemonic collison resource view,normal
debug view shows stack trace stopped thread,normal
properties window doesnt remember size,trivial
replace orgeclipsejdtlaunchingjrecontainermarker javaruntimejrecontainermarker,trivial
refactoring convert lambda expression available refactor menu,minor
browserprintgc use ancestor clip,major
actionsets dynamic cascading menus via actionsets extension point work,major
indexer returns error valid using aoperator code,minor
different behavior handling exception eclipse outside,normal
markers disposal excess tree entries slow,major
file search replace context menu item without selection,trivial
perspectivebar perspective bar expand show newly opened perspectives,normal
view mgmt ctrl f ctrl f inaccessible entries,major
link editor enabled editors might start flickering,minor
mac pinstripe theme doesnt display focus message grouping,major
custom toolbar items keep reverting exiting,major
keybindings preference page activating rename file action,normal
ide almost froze placing breakpoint running eclipse eclipse glfrg,critical
xstartonfirstthread misspelled arguments tab,trivial
cant connect smtp server,major
cannot debug windows xp solaris stack,blocker
hidpi show icons toolbar perspective changer strange lines editors,blocker
undoredo disabled,major
ux platform ui apply consistent use required field decorators,normal
widget disposed controlexample,normal
type wizards make newpackagewizardpageiscreatepackagedocumentation api,trivial
quotes contacts name inserting quote marked smiley,major
hierarchy type hierarchy enum type include anonymous subtypes,normal
mark occurrences refactorrename misses occurrences,major
javaelementnewnotpresentexception,critical
unable read new mail already viewing inbox,major
contributions objectcontribution enablement doc extension schema wrong,major
referenced projects unnecessarily built multiple times,major
project specific property pages always show configure workspace settings preference,minor
type binding marked recovered compiling,trivial
presentations invalid zoom icons editorarea,minor
activitymgmt advanced capabilities settings unnecessarily expands tree,minor
bad idea subclass error ordinary exceptions,trivial
browsing views add listener page browsing,trivial
deadlock file save,major
please put back join markerviewinternalrefresh,minor
npe orgeclipsejdtinternalcoreexternalfoldersmanagerrefreshjobrun,trivial
classfilereadergetmodifiers answers funny bits,minor
select failing message list,major
linuxgtk status bar large height,minor
close launch configuration exits eclipse,critical
debugging message,trivial
editormgmt save resource opened elsewhere dialog could clearer,minor
index outofmemoryerror java indexing launching plugin standalone application,major
keeps downloading already downloaded messages,major
paintinglinked mode ibeam decorations drawn end file,minor
browserredhat elupdate swtbrowser cannot show installed xulrunner,major
make java doc hover sticky,normal
quick fix bad variable type import quickfix inner types default package,minor
compiler compiler error nested enum class using generics,major
inactive editor selection white shaded,minor
actions add import static method invocation removes qualifier causes semantic change,major
widget disposed error,critical
column widget thunderbirdx mozilla branch broken built gtk,major
beos thunderbird builds fail migration code,critical
managed makefile,major
content assist autogenerate variable name various modificators,minor
use platformuiisworkbenchrunning defer alltypes cache initialization,normal
avoid references preference pages,normal
keybindings mac delete left arrow keys stop working java editing windows,major
editor tab disappears quickly moving mouse pointer multiple editor tabs,normal
gnu code formatter formats braces wrong,minor
wrong compiler error message member interface,normal
klick forward compose opens wrong mail last replied selected one blank window,major
compare textmergeviewercreator looks obsolete,trivial
preferences java editor preference page cut high contrast,minor
active help push active eclipse window top,trivial
unreadable console output certain conditions,normal
gtk swing components keep focus coming back swt widgets,critical
java future threads started stopping breakpoint,normal
occurrences file import declarations reported twice search,trivial
update policy update mode radio menu toolbar items stay sync,major
themes description field colours fonts preference page empty initial open,trivial
need make text encoding pref real,critical
hang calling browserfunction disposing,normal
inconsistencies names cdt features,trivial
possible race condition cdt result clients accessing stale iasttranslationunit data,critical
importexport enter path directory field import dialog box crashed eclipse,major
cannot right click folders navigator,normal
save problem eclipse build,major
activitymgmt api threadsafe,normal
correct bogus importbookmarkshtml behaviour,critical
keybindings labeling title casing issues commands,minor
swt constants linked specified widget,trivial
helpwebapp invalid css comments advancedviewsjsp,minor
unhelpful npe showinmenu,normal
browsercant visit sharing folder internal browser path depth,normal
cannot create folders thunderbird release,major
filedialog dealing multiple files return list file name sequence change,critical
unused strings placesproperties resultlabel alert bookmarks ay,normal
eclipse crashes clicking button table focus,critical
thunderbird crash start windowsxp,critical
misc tab close file deleted,trivial
databinding retrofit viewersobservables use iproperty api,normal
formatting code formatting work nonjavadoc comments using pre,minor
viewers internal error start debug session,normal
remove activator orgeclipseuigenericeditor improve performance,minor
navigation ctrlo tree expand first level items editor opened nested class,minor
cocoagtkwinretina gcdraw needs support highdpi images line numbers editors blurry,blocker
tb release cannot execute runmozillash thunderbirdbin found,major
npe code formatterline wrapping,normal
reduce padding around tabs,normal
plm,major
editing file crashes eclipse,blocker
tb crashes safe mode,critical
rcp terminates without exception output,critical
eclipse crashes xulrunner using autocomplete,critical
replace deprecated class orgeclipseuiviewsnavigatorlocalselectiontransfer,minor
platform sdk show welcome screen,normal
gdb mi parser cdtcdi broken windows,major
live sync view close open editor node removed sync view,normal
typing wrong selection line moving undo,normal
preferences installed jres overridden startup,critical
junit junit work multiuser install,major
symlink cycles lead project import wizard infinite cycle,minor
browser mozilla browser crashes eclipse detaching view part,major
intermittent commmailtestbrowserfolderdisplaybrowserselectionjs uncaught exception resourcetestingcommonmozmillfolderdisplayhelpersjsm error view index visible visible,normal
view model launchrootvmnode misses done,minor
connect button remains disabled used,normal
preferences preference filter text filed dialog font,normal
contributions duplicate menu item contributions creates duplicate menu items,minor
commands services ievaluationreference needs remove provisional api claim,minor
clean takes wrong profile,major
line number margin wide,normal
eclipse cdt plugin crashes starting,critical
msmpengexe kicks immediately denial service thunderbird,critical
problemsview sometimes eclipse update problems view,normal
gtk replace deprecated gdkdevicegrabungrab,normal
graphics update template icons jdt,normal
exception creating new installed jre resource tree locked,normal
imap freeze folder change linux,major
undo delete undeleting messages thread glitchy crashy nsimapmailfolderplaybacktimercallbacknsitimer void nsimapofflinesyncadvancetonextserver mac,critical
thunderbird several versions freezes cpu duplicate messageid message id ids,critical
tvttct ja debug release shared menu file system,major
javadoc smart edit fails removing chars,normal
step action becomes disabled,normal
newindex improve error detection case index cleared indexing,normal
dialogs tvttct ko string truncated,major
investigate crash gbiehdll,critical
code formatter line wrapping binary expressions,normal
override methods generates wrong thrown exception list code manipulation,minor
boxing,trivial
presentations dead code orgeclipseuiinternalpresentationsnativestackpresentation,normal
ctrls save editor work,major
editor eats cpu,normal
launching view configuration tabs use slightly different border sizes,trivial
support google apps correctly supporting gmail plus bunch nasty bugs regarding profile account deletion etc,major
ide activated target closed gjnod,minor
overflowabletoolbar respond resize events immediately,normal
program unresponsive seconds entering address field,major
model eclipse crashes npe existing workspace closing window twice,critical
calls memoryblock ui dispatch thread,critical
parser need ast representation ptrtomember vars,normal
address book keeps getting replaced collected addresses,critical
orgeclipseeuiinternalworkbenchswtpartrenderingenginecreatewidgetpartrenderingenginejava,normal
problem swtawt joptionpane,blocker
javamodelutilfindmethod fail overloaded methods,normal
inconsistent naming import export wizards,minor
ltk preview filter list enabled empty rename resource refactoring,normal
ccombo ccombo doesnt lose focus,major
crash trying edit preferences workspace keys,critical
crash abchangedmonitor abchanged,critical
npe renaming project,major
accounts disappear,critical
tifattachments imapfolder corrupted,major
one pixel space javadoc popup needed,minor
thunderbird hangs seconds autocomplete email adress,major
updated discuss git instead cvs,minor
invalid pointer,critical
scrapbook page popup item set imports end,trivial
renamerefactoring warning messages refactoring tools compilation problems generic,minor
bulky mails disappear move drag drop corrupted msf file,major
orgeclipsejdtdebugui unable load class,minor
core walkback triggers others search editor gewor,normal
missingincorrect unread counts indications make filtering incoming mail unusable,major
tostring custom tostring builder dialog offer help,minor
remove winia fragments,normal
javadoc see link tags spaces considered part reference type,normal
quick fix create field prefixed,minor
compiler warning invalid type inside switch needs improved,minor
editor templates new line,minor
editormgmt leak closing last editor,critical
di eventadmin service injected twice,minor
markers help f help marker views wrong,normal
continiously duplicating email refreshing imap shared folder,critical
invalid thread access splash screen enabled class different plugin loaded outside uithread,major
internaltreemodelviewerhandletreeexpand prints dude systemout,minor
actionsets actionfactorybackwardhistory actionid misspelled,trivial
menu missing items,major
phantom tooltip,minor
constructor parameter reordering refactoring fails refactoring cms,major
compiler wrong ambiguous compilation error,critical
mark occurrences annotation text interesting tooltip description,minor
copying pasting code snippets within code,normal
npe controlactiondelegate,critical
eclipse crashes trying index imported project,critical
miprocessadapter doesnt destroy process even launch timed,minor
bug handling protected members subclasses,minor
quick fix cast argument suggest fixworthy types,minor
recordcontentblockingtelemetry shouldnt called initplaces nsbrowsergluejs,normal
hover display function prototype incorrect structs containing function pointers,minor
update doc regarding type hierarchy layout menu,trivial
intro top overview seems wrong background,normal
delete key work breakpoints view,major
quick text search dialog link link open blank page doc,major
faq exclude support win cdt,major
rewriting switchstatement throws npe,major
new java project browse dialog path flaw,minor
browser support xulrunner windows x,normal
default property preferences lost,normal
smart import offer special option whether run background,minor
content assist auto completion anonymous class duplicates comment,minor
cvs repo view cvs checkout causes internal error previous attempt cancelled manually,minor
tvttct ar parenthesis incorreclty displayed environment pref page,major
gtkqt crashes gtkpaintboxgap,critical
pullupteststestgenerics tests invalid imports,normal
exception save java editor,major
api iworkbenchpartgetsite specify null might returned,trivial
accessibility jaws read label multilines text,major
helpstandalone standalone help starting win,major
dom itypebinding qualifier qualifiedtypereference wrong,normal
keybindings switch nextprevious editor doesnt cycle list,critical
hovering javadoc hover interprete tags,minor
importexport import project zip cannot locate projects,normal
switch label error null rules,minor
team share project shown,blocker
content assist content assist inserts wrong method override proposal,minor
ide gets confused declaring class member type eventshandler,minor
toolbarmenubar enablementvisibility controlled source provider property tester works across open workbench windows,major
macos table header incorrectly scrolled,major
navigationhovering javadoc view cannot find url anchor,minor
default selection change view popup menu currently active view,normal
inconsistent preview button move java class dialog refactoring,trivial
search selection search work overloaded functions,major
spell checking continuously forgets manually selected language,major
annotations visible invisible preserved target jsr,normal
stackoverflowerror orgeclipseswtinternalcarbonosselectwindow,normal
console pref page punctuation capitalization,trivial
tb crashes upon downloading messages caused corrupt address book,critical
content assist content assist handle varargs correctly,minor
replace usage systemgetpropertyfileseparator inputpatchpage,trivial
form submits work anchors work unable sroll page mouse wheel,major
common navigator project explorer view shows nested subpackages contents twice first,minor
tests fail jre due extra quotes around annotation value literal,normal
ui freeze caused waiting workspace lock ui thread,major
spell checking preferencesclass attribute spelling engine extension definition incorrect super interface,normal
double click next closing parenthesis highlight scope,major
convertpointtobase class nsview deprecated,minor
internal error synchronizing cvs repository,major
auto activation instead,trivial
whats new toolbar button redisplayed browser restart previously accessed using keyboard navigation,critical
dark theme improve dark theme works well menlo font mac,normal
background color messed advanced graphics features,critical
css package explorer files opened editor shown bold viewer,minor
javadoc warning n,normal
unable unset readonly flag attribute edit,normal
tags removed moving bookmark bookmarks folder structure cut paste,major
eclipse crashes whem im trying open class file java decompiler jdeclipse plugin emmanuel dupuy,critical
move nonexisting folder message filter deletes message,critical
account setting ok button saving data due junk settings,major
tasks filters preference page task view confusing,minor
workingsets restart package explorer looses view,minor
preferences preferencesutilcreatepreferencedialogon clarification,trivial
adding library removes others,normal
maximum console buffer setting maximum integer value,trivial
keyword searches post opensearchxml engines first sends get request post request,normal
doxygen tag todo found task finder,normal
using filter reply template consistently get error sending message failed please verify mail newsgroups account settings correct try,major
temporary freeze moving message delete folder move,major
browserclick url linked new window pop two browser window,critical
thunderbird crashed moving lot mail inbox another folder,critical
references search broken lambda method reference separate class,major
initial java perspective switch slow gejhtl,critical
visibility information nested classes index,minor
commands activateeditorhandler unnecessarily calls setfocus,minor
remove useless nonjavadoc comments,normal
default search oneclick shows twice preference search result,normal
annual javadoc bash,normal
configurations always get renamed default restart,normal
intro welcome content different layout platform product,normal
display cheese resizing perspective chooser,minor
regression show view dialog views without category missing since node missing,major
reduce noops imagelist,trivial
javadoc popup position wrong dual monitor setup,minor
perspectivebar duplicate custom perspectives shown perspectives bar,minor
swtbrowser widget reacts different compared ie javascript,critical
startup plugins work,critical
workbench minimized small window taskbar could restored,major
compiler npe scopegettypeorpackage,major
exportpluginxml ant scripts still referencing pluginjars,trivial
javadoc content found methods inner classes method signature contains arguments,normal
cannot start eclipse windows,critical
run control miruncontroltestgetmodeldataforthread getmodeldataforcontainer tests fail,normal
invalid since tag textinformationcontext,trivial
jvm crash random intervals suse sun jre,blocker
features dialog displays plugin name feature name,major
new classes use types template,normal
perspectivebar workbench start linux gtk,blocker
documentation template engine new project model,normal
menu bar doesnt work well unity application none crash,normal
welcome alignment workbench link header broken,trivial
iae copy operations dont pick collapsed regions,major
compiler infer generic types arguments throws npe,normal
launching launch history updatedrun last launched fails due working set filter,minor
compile error service provider interface,normal
option category preprocessor inconsistent gnu windows,minor
releng dirty git status build eclipsejdtdebug,trivial
crash combo disposed focusout,critical
files c extension longer included build rcm,major
cant download email reference empty,critical
npe addressbook example,major
confusing name generating hashcode equals outer type,trivial
consider drawing block selection characters,normal
filesystem fragment solaris sparcv need built,normal
nls tooling missing wizard description externalize strings wizard,trivial
bidihcg cc editor rtl mirrored eclipse,major
error reporting binding swtproject macos leopard,critical
snippet doesnt rotate,normal
firefox freezes minutes new tab issue release beta versions,major
performance performance eclipse severely degrades time,major
occassional junit failure search tests,major
general move refactoring missed update qualified names refactoring,major
provide scrollbar project properties preprocessor include paths macros etc provides language settings provider options,minor
nitializer typo code style dialog,trivial
intro restoring workbench perspective welcome page shows cheatsheet maximized,minor
mousedown selection events get lost clicking toolitem,normal
new preferences window cant closed os x doesnt collapse toolbar button,major
version increment required jdt core apt plugins,normal
javascript crash windows x builds,critical
api buildproject eclipse variable fails builders antexternaltoolbuilder,minor
